Family	Family	Tribe	Genus	Subgenus	 species	Science.name	Full.name	Authority	Recorded.states	Status	Season	Host.Plant	Lecty
Andrenidae	Andreninae		Andrena	Callandrena s.l.	 accepta	Andrena accepta	Andrena (Callandrena s.l.) accepta	"Viereck, 1916"	MD-NJ-NY-VA	Rare	Fall	"Asteraceae, e.g. Helianthus L."	poly
Andrenidae	Andreninae		Andrena	Callandrena s.l.	 aliciae	Andrena aliciae	Andrena (Callandrena s.l.) aliciae	"Robertson, 1891"	CT-DE-MA-MD-NJ-NY-PA-VA-WV	Rare	Summer	"Asteraceae, e.g. Helianthus L."	poly
Andrenidae	Andreninae		Andrena	Parandrena	 andrenoides	Andrena andrenoides	Andrena (Parandrena) andrenoides	"(Cresson, 1878)"	MD-NJ-NY-VA	Rare	Spring	Salix L.	oligo
Andrenidae	Andreninae		Andrena	Scaphandrena	 arabis	Andrena arabis	Andrena (Scaphandrena) arabis	"Robertson, 1897"	CT-DE-MA-MD-NJ-NY-PA-VA-WV	Uncommon	Spring	"Arabis L., Cardamine L."	poly
Andrenidae	Andreninae		Andrena	Callandrena s.l.	 asteris	Andrena asteris	Andrena (Callandrena s.l.) asteris	"Robertson, 1891"	CT-DE-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Common	Fall	"Solidago L., Symphyotrichum Nees"	poly
Andrenidae	Andreninae		Andrena	Callandrena s.l.	 asteroides	Andrena asteroides	Andrena (Callandrena s.l.) asteroides	"Mitchell, 1960"	MD-NJ-PA-VA	Rare	Fall	Symphyotrichum Nees	oligo
Andrenidae	Andreninae		Andrena	Thysandrena	 bisalicis	Andrena bisalicis	Andrena (Thysandrena) bisalicis	"Viereck, 1908"	CT-DE-MA-MD-ME-NH-NJ-NY-PA-RI-VA-VT-WV	Common-Uncommon	Spring	Salix L.	oligo
Andrenidae	Andreninae		Andrena	Callandrena s.l.	 braccata	Andrena braccata	Andrena (Callandrena s.l.) braccata	"Viereck, 1907"	CT-MA-MD-ME-NH-NJ-NY-PA-RI-VA	Common-Rare	Fall	"Euthamia Nutt. ex Cass., Solidago L."	poly
Andrenidae	Andreninae		Andrena	Conandrena	 bradleyi	Andrena bradleyi	Andrena (Conandrena) bradleyi	"Viereck, 1907"	CT-DE-MA-MD-ME-NH-NJ-NY-PA-RI-VA	Common-Uncommon	Spring	"Ericaceae, e.g. Gaylussacia Kunth, VacciniumL."	poly
Andrenidae	Andreninae		Andrena	Cnemidandrena	 canadensis	Andrena canadensis	Andrena (Cnemidandrena) canadensis	"Dalla Torre, 1896"	CT-MA-ME-NH-NJ-NY-RI-VA-VT	Common-Uncommon	Fall	"Astereae, e.g. Solidago L."	poly
