species.i.	n.gps	CHELSA_bio10_1	CHELSA_bio10_2	CHELSA_bio10_3	CHELSA_bio10_4	CHELSA_bio10_5	CHELSA_bio10_6	CHELSA_bio10_7	CHELSA_bio10_8	CHELSA_bio10_9	CHELSA_bio10_10	CHELSA_bio10_11	CHELSA_bio10_12	CHELSA_bio10_13	CHELSA_bio10_14	CHELSA_bio10_15	CHELSA_bio10_16	CHELSA_bio10_17	CHELSA_bio10_18	CHELSA_bio10_19	CHELSA_bio10_1SD	CHELSA_bio10_2SD	CHELSA_bio10_3SD	CHELSA_bio10_4SD	CHELSA_bio10_5SD	CHELSA_bio10_6SD	CHELSA_bio10_7SD	CHELSA_bio10_8SD	CHELSA_bio10_9SD	CHELSA_bio10_10SD	CHELSA_bio10_11SD	CHELSA_bio10_12SD	CHELSA_bio10_13SD	CHELSA_bio10_14SD	CHELSA_bio10_15SD	CHELSA_bio10_16SD	CHELSA_bio10_17SD	CHELSA_bio10_18SD	CHELSA_bio10_19SD	area	max_lat	min_lat	abs_max_lat	abs_min_lat	length_lat	median_lon	median_lat
Agapostemon sericeus	107	138.584905660377	80.5188679245283	250.169811320755	8362.41509433962	302.358490566038	-19.2547169811321	321.396226415094	250.622641509434	34.8962264150943	251.207547169811	25.9716981132075	1073.55660377358	112.509433962264	73.622641509434	12.4056603773585	327.292452830189	227.415094339623	326.990566037736	234.650943396226	3.39991015155317	4.95548014506205	10.0071133729612	119.283165931966	4.37131053519975	5.6821547233501	8.08959266180704	6.83053763510211	27.4971614968953	2.91046381881153	4.52812911470344	51.0310979303292	6.12293935485373	4.70147460188453	0.993102899639427	16.5558028849229	15.0103887355063	17.280043696494	12.5963278494966	2.48335867499999	39.668	38.2097	39.668	38.2097	1.4583	-76.4208	39.0233
Agapostemon splendens	9818	141.468811556139	81.8220617202889	254.096257386737	8330.48325673014	305.633092580433	-16.6442547603414	321.450164149705	253.667367038739	29.9260669730794	253.667367038739	29.3163493105712	1115.65633617859	115.994878529219	79.6334865397242	11.2044648719632	340.781746552856	244.920814182534	340.781746552856	257.366382140512	1.35755882015057	3.24314341346292	7.3593496115809	85.5345708316821	2.97151481097291	3.09004362452917	5.60796598996707	0.936970896775145	9.15462261785128	0.936970896775145	2.13612512210256	16.4274064815935	1.30479708679132	1.65234432929539	0.576057654330582	3.75075971239535	4.99483908790484	3.75075971239535	6.88522545987462	1.51751907999999	39.2524	38.0275	39.2524	38.0275	1.2249	-76.3801	38.7566
Agapostemon texanus	637	136.303797468354	83.3544303797468	255.482594936709	8426.96044303797	302.770569620253	-23.5094936708861	326.289556962025	246.074367088608	26.2594936708861	249.302215189873	22.8196202531646	1099.9082278481	113.939873417722	73.0284810126582	12.8908227848101	332.51582278481	225.539556962025	331.270569620253	240.371835443038	3.45256993008816	1.96587672740389	4.06324964690001	52.5189575775568	2.93342197659459	4.19983077124441	3.04691553159177	13.6448909967042	17.6793702262672	3.11412021106454	4.02516582502576	64.9200248851298	7.4167022703593	4.59233277882401	1.04681750903853	20.7945135460467	14.1954330213051	23.4913995320193	15.3230205336281	2.32482666	39.7057	38.4748	39.7057	38.4748	1.2309	-76.80639	39.0258
Agapostemon virescens	4580	138.688883968113	81.0050930026572	252.305801594331	8293.1550044287	301.538308237378	-18.5746235606732	319.850088573959	246.658547387068	46.2196634189548	249.887068201949	27.0513728963685	1084.0360938884	113.241142604074	74.1237821080602	13.0214791851196	332.237378210806	228.146811337467	331.408990256864	240.110496014172	4.87104769452603	8.48221228979297	18.4255629640522	213.633120012069	7.38695346093998	9.34802496429698	14.2551617584119	15.7898538996706	40.2021252362101	3.57994923103488	7.35160436287978	80.8273567449933	10.7224564930646	7.62196228983313	1.64978716161706	30.5609842924104	21.8519110470514	31.6882083109307	18.9007072851244	4.01369343499999	39.716	38.155	39.716	38.155	1.561	-76.8119	38.9579
Andrena 	3	138	84	257	8437	305	-23	328	250	24	250	24	999	104	64	14	305	199	305	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.0222	39.0222	39.0222	39.0222	0	-76.9085	39.0222
Andrena accepta	1	140	84	257	8393	306	-19	326	253	28	253	27	1034	111	69	14	324	212	324	226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.8789	38.8789	38.8789	38.8789	0	-76.6687	38.8789
Andrena aliciae	16	140.875	84	258	8359.9375	305.875	-18.5625	324.8125	252.875	28.4375	252.875	28.0625	1074.1875	113.3125	72.5	13.375	334.9375	223.875	334.9375	240.1875	1.02469507659596	0	0	5.10514446416553	1.02469507659596	0.51234753829798	0.403112887414928	1.02469507659596	0.51234753829798	1.02469507659596	0.928708781050335	66.0315265611814	7.01159753551215	4.24264068711928	0.5	21.0347926065364	13.154847015454	21.0347926065364	14.5107718609315	1.69500000003332e-06	38.8026	38.7847	38.8026	38.7847	0.0178999999999974	-76.6949	38.7934
Andrena alleghaniensis	8	135.375	84	256.625	8440.5	302.5	-24.875	327.375	234.375	22	248.5	21.875	1063.25	109.375	70.125	12.5	319.5	216.625	317.875	232.875	4.10356987442467	0	1.06066017177982	43.0879499230519	3.11677488989592	4.54933276112317	1.50594061730772	32.5485900506568	4.81070235442364	3.46410161513775	4.76407688554966	68.1882897361626	9.65012953280939	5.33017019294077	1.51185789203691	29.2086092983363	15.7202099222625	32.647194147649	16.4180867164408	0.256068104999998	39.5032	38.8693	39.5032	38.8693	0.633899999999997	-76.8524	39.0165
Andrena andrenoides	1	141	84	257	8385	307	-19	325	253	28	253	28	987	105	66	14	307	202	307	214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.8585	38.8585	38.8585	38.8585	0	-76.6873	38.8585
Andrena arabis	30	132.2	83.5333333333333	255.833333333333	8426.33333333333	298.966666666667	-27.5666666666667	326.566666666667	239.766666666667	19	245.3	18.8	1109.56666666667	111.9	74.6	12.2333333333333	328.966666666667	230.1	326.466666666667	240.966666666667	11.1676873782941	1.73668994182122	3.85140666943045	100.30551032869	12.0730058918385	10.7629099171673	3.95390102725566	22.2147564087219	10.9450035837489	11.8936378240493	10.7908006797617	113.912151067915	10.0801956740723	8.95814020107237	1.35655073073493	30.4058562114936	27.4079651146184	30.4118095633841	24.9392134562438	1.57891725	39.7009	38.6933	39.7009	38.6933	1.0076	-76.8191	39.133
