assessmentId,internalTaxonId,redlistCategory,redlistCriteria,yearPublished,assessmentDate,criteriaVersion,language,habitat,population,populationTrend,range,useTrade,systems,conservationActions,realm,yearLastSeen,possiblyExtinct,possiblyExtinctInTheWild,scopes
3249201,11068,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Australasian,,false,false,Global
3249232,11069,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Australasian,,false,false,Global
3273144,11356,Vulnerable,A2c,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
3304120,11759,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
3304198,11761,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
3304229,11762,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
3304260,11763,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
3378279,12759,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
3390729,1285,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Palearctic,,false,false,Global
3395812,1290,Critically Endangered,B1+2c,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,"This species has a very small local distribution in Sri Lanka, in a forest which is threatened by human impact (D. Agosti pers. comm. 1995)",,Terrestrial,,Indomalayan,,false,false,Global
3403827,12979,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
4070259,135295,Critically Endangered,A2ace,2008,2008-01-01 00:00:00 UTC,3.1,English,"The habitat of <span style=""font-style: italic;"">B. franklini </span>includes floral resources, such as <span style=""font-style: italic;"">Lupinus</span>, <span style=""font-style: italic;"">Eschscholzia</span>, <span style=""font-style: italic;"">Agastache</span>, <span style=""font-style: italic;"">Monardella </span>and <span style=""font-style: italic;"">Vicia</span>, and abandoned rodent burrows that are thought to be used for nesting. 

 

Bumblebees are social insects; they live in colonies. Most make their homes in abandoned animal
burrows or in grassy tussocks, and feed on both the nectar and pollen rewards
offered by the flowers of the plants they pollinate. </span>Bumblebees have a special technique in foraging
that makes them exclusive pollinators of certain plants. They engage in “buzz pollination” by which
they sonicate the flowers to vibrate the pollen loose from the anthers.&#160; </span>Tomatoes and related plants (Solanaceae),
blueberries (Ericaceae), and others are pollinated this way.</span>","The population is currently decreasing drastically. Dr R.W. Thorp’s unpublished surveys have revealed that, since 1998, the populations have decreased drastically, and no individuals were found at all in 2004. Surveys of many historic and potential sites within the area inhabited by these bumblebees were repeated annually over nine years. Between nine and seventeen historic sites were visited annually. Some were visited more than once for an average of visits of historic sites per year. In addition, six to nineteen potential sites were visited at least once each year. During the first three years, bees were observed at seven new sites (where this bee had not been recorded before) but as time went on this number decreased. The continued abundance of other bumblebee species suggests that the habitat has not recently become uninhabitable.",Decreasing,"<span style=""font-style: italic;"">Bombus franklini </span>occurs only in the USA. It is found only from southern Oregon to northern California between the Coast and Sierra-Cascade Ranges, in Douglas, Jackson and Josephine and Siskiyou and Trinity counties in Oregon and California respectively. This area is around 190 miles in the north-south direction (40º58’ to 43º30’N latitude) and 70 miles from east to west (122º to 124ºW longitude).",,Terrestrial,"Currently there are no conservation measures in place to protect <span style=""font-style: italic;"">B. franklini</span>. <br/><br/>It would be beneficial to attempt to prevent the spread of commercially based disease pathogens to native populations, as these are thought to be having a major negative impact on <span style=""font-style: italic;"">B. franklini</span>. Further research is needed for: <br/><ul><li>the size and range of the remaining population: although very few individuals have been observed, further investigation should be done to reveal precisely how many <span style=""font-style: italic;"">B. franklini</span> are remaining;</li><li>the species' ecology and biology: a better understanding of the behaviours and general biology of the bee, and its habitat requirements, especially any that might be limiting factors; </li><li>threats: studying the pathology, control, and cross-infectivity of different suspected disease agents of <span style=""font-style: italic;"">B. franklini</span>, including <span style=""font-style: italic;"">Nosema bombi</span>, <span style=""font-style: italic;"">Locustacrus buchneri</span>, and <span style=""font-style: italic;"">Crithidia bombi </span>(Colla <span style=""font-style: italic;"">et al</span>. 2006, Otterstatter <span style=""font-style: italic;"">et al</span>. 2005) would allow for better understanding of the risks to the bumblebee populations and the preventative measures that should be taken. The introduction of these diseases could also be better studies as an element of the risks of commercial trafficking in bumble bees (Thorp 2003);</li></ul>The habitat of <span style=""font-style: italic;"">B. franklini</span> needs protection. The protected habitat must have an abundance of suitable pollen and nector aources such as, but not limited to: <span style=""font-style: italic;"">Lupinus</span>, <span style=""font-style: italic;"">Eschscholzia</span>, <span style=""font-style: italic;"">Agastache</span>, <span style=""font-style: italic;"">Monardella </span>as sources of pollen and nectar for the bees to feed on. Proximity to a natural source of fresh water would also be beneficial as it would increase the flowering season of the plants upon which the bees feed. Also, suitable nest sites are needed, such as abandoned rodent burrows.",Nearctic,,false,false,Global
4354033,13711,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Indomalayan,,false,false,Global
4354093,13712,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Neotropical,,false,false,Global
4354124,13713,Vulnerable,D2,1996,1996-08-01 00:00:00 UTC,2.3,English,,,,,,Terrestrial,,Nearctic,,false,false,Global
