CommonName	ScientificName	NatureServeGS	IUCN	Maryland	Virginia	DC	Country.States.Prov
Yellow Bumble Bee	Bombus fervidus	G3G4	VU - Vulnerable	SNR	SNR	SNR	"US: AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY
CA: AB, BC, MB, NB, NF, NS, ON, PE, QC, SK"
Rusty-patched Bumble Bee	Bombus affinis	G2	CR - Critically endangered	SH	SH	SNR	"US: CT, DC, GA, IA, IL, IN, KY, MA, MD, ME, MI, MN, NC, ND, NH, NJ, NY, OH, PA, RI, SC, SD, TN, VA, VT, WI, WV
CA: NB, ON, QC"
Half-black Bumble Bee	Bombus vagans	G4	LC - Least concern	S3	SNR	SNR	"US: AK, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NY, OH, OR, PA, RI, SD, TN, VA, VT, WA, WI, WV, WY
CA: AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK, YT"
Tri-colored Bumble Bee	Bombus ternarius	G5	LC - Least concern	SNR	NA	NA	"US: CT, GA, IA, ID, IL (extirpated), IN, IN, MA, MD, ME, MI, MN, MT, ND, NE, NH, NJ, NY, PA, SD, VT, WI, WY
CA: AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT"
Abrupt Digger Bee	Anthophora abrupta	G5		SNR	SNR	SNR	"US: AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV
CA: ON, QC"
Confusing Bumble Bee	Bombus perplexus	G5	LC - Least concern	SNR	SNR	SNR	"US: AK, CT, DC, DE, GA, IL, IN, KY, MA, MD, ME, MI, MN, NC, ND, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WI, WV
CA: AB, BC, LB, MB, NB, NS, NT, ON, PE, QC, SK, YT"
Black-and-gold Bumble Bee	Bombus auricomus	G4G5	LC - Least concern	SU	SNR	SNR	"US: AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV, WY
CA: AB, BC, ON, SK"
Eastern Carpenter Bee	Xylocopa virginica	G5		SNR	SNR	NA	"US: AL, CO, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV
CA: ON"
Brown-belted Bumble Bee	Bombus griseocollis	G5	LC - Least concern	SNR	SNR	SNR	"US: AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY
CA: AB, BC, MB, NB, ON, QC, SK"
Two-spotted Bumble Bee	Bombus bimaculatus	G5	LC - Least concern	SNR	SNR	SNR	"US: AL, AR, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, WV
CA: MB, NB, NS, ON, QC, SK"
Common Eastern Bumble Bee	Bombus impatiens	G5	LC - Least concern	SNR	SNR	SNR	"US: AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV
CA: BC, MB, NB, NF, NS, ON, PE, QC, SK"
Sanderson's Bumble Bee	Bombus sandersoni	G4G5	LC - Least concern	S3	SU	NA	"US: CT, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, TN, VA, VT, WI, WV
CA: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT"
American Bumble Bee	Bombus pensylvanicus	G3G4	VU - Vulnerable	S2S3	SU	SNR	"US: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY
CA: AB, BC, MB, ON, QC, YT"
Yellow-banded Bumble Bee	Bombus terricola	G3G4	VU - Vulnerable	S1	SU	NA	"US: CO, CT, GA, IL (extirpated), IN, MA, MD, ME, MI, MN, MT, NC, ND, NE, NH, NJ, NY, OH, PA, RI, SD, TN, UT, VA, VT, WA, WI, WV, WY
CA: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK"
Variable Cuckoo Bumble Bee	Bombus variabilis	G1G2	CR - Critically endangered	SNR	SNR	NA	"US: AR, AZ, FL, GA, IA, IL, IN, IN, KS, MD, MN, MO, MS, NC, ND, NE, NH, OH, OK, SC, TN, TX, VA, WI
CA: QC, SK"
Lemon Cuckoo Bumble Bee	Bombus citrinus	G4	LC - Least concern	SU	SU	SNR	"US: AL, CT, DC, DE, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, NC, ND, NE, NH, NJ, NY, OH, PA, RI, SD, TN, VA, VT, WI, WV
CA: MB, NB, NF, NS, ON, PE, QC, SK"
Macropis Cuckoo Bee	Epeoloides pilosula	GU		SH	NA	NA	"US: CT, MA, MD, WI
CA: MB, NS, ON, QC, SK"
Southern Plains Bumble Bee	Bombus fraternus	G2G4	EN - Endangered	SNR	SU	SNR	"US: AL, AR, CO, DC, FL, GA, IA, IL, IN, KS, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NJ, NM, OH, OK, SC, SD, TN, TX, VA, WY"
Fringed Loosestrife Oil-collecting Bee	Macropis ciliata	GNR		S1	NA	NA	"US: CT, MA, MD, MN, WI
CA: MB, NB"
Blue Orchard Bee	Osmia lignaria	G5		SNR	SNR	SNR	"US: AL, AR, AZ, CA, CO, CT, DC, DE, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, UT, VA, VT, WI, WV, WY
CA: AB, BC, MB, NB, NS, ON, QC, SK"
