"taxon","genus","species","threat_rank","perc_votes_threatened"
"lepidopterans","Acronicta","americana",1,0
"lepidopterans","Actias","luna",1,0
"lepidopterans","Agnorisma","badinodis",1,0
"lepidopterans","Agrotis","ipsilon",1,0
"lepidopterans","Alypia","octomaculata",1,0
"lepidopterans","Amphipyra","pyramidoides",1,0
"lepidopterans","Anageshna","primordialis",1,0
"lepidopterans","Antheraea","polyphemus",1,0
"lepidopterans","Apantesis","phalerata",1,0
"lepidopterans","Argyria","nivalis",1,0
"lepidopterans","Argyrotaenia","velutinana",1,0
"lepidopterans","Athetis","tarda",1,0
"lepidopterans","Atteva","punctella",1,0
"lepidopterans","Battaristis","vittella",1,0
"lepidopterans","Callima","argenticinctella",1,0
"lepidopterans","Cameraria","guttifinitella",1,0
"lepidopterans","Cisseps","fulvicollis",1,0
"lepidopterans","Cisthene","plumbea",1,0
"lepidopterans","Costaconvexa","centrostrigaria",1,0
"lepidopterans","Crambus","agitatellus",1,0
"lepidopterans","Crocidophora","tuberculalis",1,0
"lepidopterans","Cyaniris","neglecta",1,0
"lepidopterans","Cyclophora","packardi",1,0
"lepidopterans","Cycnia","tenera",1,0
"lepidopterans","Digrammia","ocellinata",1,0
"lepidopterans","Dryocampa","rubicunda",1,0
"lepidopterans","Eacles","imperialis",1,0
"lepidopterans","Elaphria","grata",1,0
"lepidopterans","Epimecis","hortaria",1,0
"lepidopterans","Epipaschia","superatalis",1,0
"lepidopterans","Euchaetes","egle",1,0
"lepidopterans","Eudonia","heterosalis",1,0
"lepidopterans","Eumorpha","pandorus",1,0
"lepidopterans","Eutrapela","clemataria",1,0
"lepidopterans","Galgula","partita",1,0
"lepidopterans","Haematopis","grataria",1,0
"lepidopterans","Halysidota","harrisii",1,0
"lepidopterans","Halysidota","tessellaris",1,0
"lepidopterans","Haploa","clymene",1,0
"lepidopterans","Helicoverpa","zea",1,0
"lepidopterans","Hemaris","diffinis",1,0
"lepidopterans","Hemaris","thysbe",1,0
"lepidopterans","Hyalophora","cecropia",1,0
"lepidopterans","Hypena","scabra",1,0
"lepidopterans","Hypercompe","scribonia",1,0
"lepidopterans","Hyphantria","cunea",1,0
"lepidopterans","Hypsopygia","olinalis",1,0
"lepidopterans","Idia","aemula",1,0
"lepidopterans","Idia","americalis",1,0
"lepidopterans","Isa","textula",1,0
"lepidopterans","Lacinipolia","renigera",1,0
"lepidopterans","Lascoria","ambigualis",1,0
"lepidopterans","Malacosoma","americana",1,0
"lepidopterans","Malthaca","dimidiata",1,0
"lepidopterans","Marimatha","nigrofimbria",1,0
"lepidopterans","Mythimna","unipuncta",1,0
"lepidopterans","Nadata","gibbosa",1,0
"lepidopterans","Nephelodes","minians",1,0
"lepidopterans","Nomophila","nearctica",1,0
"lepidopterans","Orgyia","leucostigma",1,0
"lepidopterans","Orthonama","obstipata",1,0
"lepidopterans","Palthis","angulalis",1,0
"lepidopterans","Palthis","asopialis",1,0
"lepidopterans","Panopoda","rufimargo",1,0
"lepidopterans","Parallelia","bistriaris",1,0
"lepidopterans","Parectopa","robiniella",1,0
"lepidopterans","Phalaenostola","larentioides",1,0
"lepidopterans","Phyllocnistis","liriodendronella",1,0
"lepidopterans","Platynota","idaeusalis",1,0
"lepidopterans","Pleuroprucha","insulsaria",1,0
"lepidopterans","Prochoerodes","lineola",1,0
"lepidopterans","Prolimacodes","badia",1,0
"lepidopterans","Promalactis","suzukiella",1,0
"lepidopterans","Protodeltote","muscosula",1,0
"lepidopterans","Pseudeustrotia","carneola",1,0
"lepidopterans","Renia","adspergillus",1,0
"lepidopterans","Schinia","arcigera",1,0
"lepidopterans","Scopula","limboundata",1,0
"lepidopterans","Spilosoma","virginica",1,0
"lepidopterans","Synchlora","aerata",1,0
"lepidopterans","Zale","lunata",1,0
"plants","Carex","comosa",1,0.148
"plants","Carex","annectens",2,0.156
"plants","Andropogon","glomeratus",3,0.172
"plants","Carex","longii",4,0.174
"plants","Polygala","mariana",5,0.184
"plants","Carex","swanii",6,0.186
"plants","Cyperus","retrorsus",7,0.188
"plants","Carex","lupulina",8,0.19
"plants","Vicia","lathyroides",8,0.19
"plants","Juncus","dichotomus",10,0.192
"plants","Lobelia","puberula",10,0.192
"plants","Hydrocotyle","umbellata",12,0.194
"plants","Dichanthelium","scoparium",13,0.196
"plants","Fimbristylis","autumnalis",13,0.196
"plants","Phoradendron","leucarpum",13,0.196
"plants","Elymus","virginicus",16,0.198
"plants","Diodia","virginiana",17,0.2
"plants","Packera","dubia",17,0.2
"plants","Eupatorium","rotundifolium",19,0.202
"plants","Quercus","nigra",20,0.206
