"accuracy","oob_accuracy","threat_acc","sec_acc","n_threat","n_sec","in_auc","out_auc","mod","mtry"
0.804347826086957,0.723922166592038,0.926884932407036,0.261954782778885,14,32,0.699829441391941,0.873883928571429,1,2
0.755555555555556,0.726149412450666,0.902337096597756,0.323849470688801,14,31,0.726331667613995,0.638248847926267,2,2
0.666666666666667,0.733758714193652,0.904568968933482,0.343662763942279,14,31,0.73007397056966,0.565668202764977,3,2
0.681818181818182,0.723112950307335,0.871561732253996,0.3865381495799,13,31,0.735836333207023,0.620347394540943,4,83
0.777777777777778,0.729577118238967,0.927515932987736,0.277148001054152,14,31,0.706349666856133,0.784562211981567,5,2
0.755555555555556,0.724090180201776,0.912196822009938,0.294075288603025,14,31,0.69929518757105,0.794930875576037,6,2
0.777777777777778,0.73377554723493,0.926167234911099,0.294264837287792,14,31,0.718878441960339,0.730414746543779,7,2
0.8,0.725125759233995,0.910012202756852,0.307784225226919,13,32,0.719475732600732,0.765625,8,2
0.711111111111111,0.740125810250969,0.893079404261324,0.39088994995655,14,31,0.71662001073639,0.690092165898618,9,42
0.681818181818182,0.727035887733393,0.893845527583555,0.349321514639533,13,31,0.725785216938234,0.625310173697271,10,4
0.75,0.729608053201353,0.905075973544272,0.332333820137054,13,31,0.715826228369332,0.759305210918114,11,3
0.711111111111111,0.737005273896647,0.922954560289933,0.312046684297735,14,31,0.722061623721106,0.702764976958525,12,2
0.695652173913043,0.736319414999924,0.907584163701187,0.346616392729049,14,32,0.720252976190476,0.641741071428571,13,2
0.659090909090909,0.733110553572263,0.878457924151502,0.403726223883033,13,31,0.720957709675382,0.663771712158809,14,27
0.666666666666667,0.721220852495041,0.907122943686033,0.296347366086505,14,31,0.727355216622458,0.650921658986175,15,2
0.733333333333333,0.722464324845291,0.913544362806276,0.285908436878877,14,31,0.71183252810408,0.768433179723502,16,2
0.844444444444444,0.724429264818365,0.908574681521794,0.3039835602069,14,31,0.716761794240243,0.777649769585253,17,2
0.8,0.733046208480108,0.914234722745089,0.31901506963657,14,31,0.706832804408235,0.785714285714286,18,2
0.818181818181818,0.73162249870524,0.916809806479822,0.311708273686532,13,31,0.718125434192245,0.744416873449131,19,2
0.760869565217391,0.742773528533118,0.9252682850344,0.327107292712614,14,32,0.70904304029304,0.7109375,20,2
0.704545454545455,0.734049475349466,0.928633497320919,0.29305118109163,13,31,0.725593461854238,0.725806451612903,21,2
0.8,0.723868479869517,0.906510268685262,0.306511937678896,14,31,0.695464783061766,0.836405529953917,22,2
0.695652173913043,0.716230351328736,0.889563141274708,0.321664770106536,14,32,0.718597756410256,0.676339285714285,23,2
0.75,0.746597304083616,0.91636360238599,0.361688519272378,13,31,0.719004791903499,0.669975186104218,24,2
0.733333333333333,0.731317035392434,0.913033837358173,0.316347837477485,14,31,0.73602137804724,0.663594470046083,25,2
0.659090909090909,0.735917881683164,0.89586186800044,0.373258798077167,13,31,0.749902661993179,0.514888337468983,26,3
0.733333333333333,0.73192158528986,0.927174481636445,0.285909214443521,14,31,0.69752494631805,0.887096774193548,27,2
0.782608695652174,0.715662351842011,0.923212915484918,0.243156424719318,14,32,0.702718635531135,0.842633928571428,28,2
0.711111111111111,0.720035394691552,0.877410878620109,0.360411932162711,14,31,0.713932873878994,0.732718894009217,29,34
0.733333333333333,0.732151190188058,0.908343433260169,0.329391741197968,14,31,0.731510752178856,0.602534562211982,30,2
0.704545454545455,0.738021489533963,0.902251619660363,0.365824506259343,13,31,0.727646638562587,0.663771712158809,31,3
0.777777777777778,0.730145538671271,0.930802549976928,0.271850879592203,14,31,0.706117176645194,0.826036866359447,32,2
0.704545454545455,0.734017422144648,0.909953553162638,0.335607889376718,13,31,0.726765188834154,0.672456575682382,33,3
0.777777777777778,0.716380586540767,0.913873038299984,0.265101551556314,14,31,0.710995129152457,0.764976958525345,34,2
0.8,0.723755760811179,0.907161076781648,0.305051412358611,14,31,0.71256051061008,0.722350230414747,35,2
0.739130434782609,0.730199756179776,0.923012757795307,0.29138611081663,14,32,0.693244047619048,0.875,36,2
0.782608695652174,0.72952667286776,0.915049478656313,0.307259901415269,14,32,0.714682921245421,0.736607142857143,37,2
0.688888888888889,0.730855310049384,0.877900715673126,0.395213916107837,14,31,0.724124273714791,0.669354838709677,38,25
0.666666666666667,0.754456547925801,0.919630361503066,0.377191042735722,14,31,0.737140449349501,0.608294930875576,39,2
0.772727272727273,0.716591995300964,0.881490808493976,0.343137967165687,13,31,0.72537620784388,0.699751861042183,40,6
0.733333333333333,0.743624013767753,0.922855852742504,0.334363160563006,14,31,0.726660864279399,0.711981566820276,41,2
0.826086956521739,0.724977144197113,0.908072580927129,0.308172009267199,14,32,0.701972298534798,0.852678571428571,42,2
0.782608695652174,0.735516553986017,0.919897597523506,0.315552821298101,14,32,0.704088827838828,0.84375,43,2
0.772727272727273,0.722563077181654,0.896780337543073,0.327772722583682,13,31,0.709953620373879,0.826302729528536,44,3
0.711111111111111,0.734820385352907,0.908447805168657,0.338322589608092,14,31,0.721703375647341,0.63479262672811,45,2
0.688888888888889,0.731599913115263,0.915958870277704,0.310216359176114,14,31,0.732660453770368,0.576036866359447,46,2
0.688888888888889,0.730386274793556,0.900238550160405,0.34226291074989,14,31,0.744093209233296,0.549539170506913,47,2
0.681818181818182,0.718976837565952,0.860743676369761,0.397795525858508,13,31,0.715712430529241,0.703473945409429,48,68
0.844444444444444,0.725641026689529,0.908258219332918,0.308566385189103,14,31,0.702825683655425,0.804147465437788,49,2
0.659090909090909,0.745409111265903,0.899730945698394,0.395656968177823,13,31,0.743192655046104,0.550868486352357,50,3
0.681818181818182,0.722010923420468,0.881975189179045,0.359539044288937,13,31,0.742374321081218,0.543424317617866,51,3
0.666666666666667,0.731190889088331,0.891440269978044,0.36483203437287,14,31,0.727558773841102,0.670506912442396,52,32
0.652173913043478,0.715803255566616,0.869143600802564,0.366690350827877,14,32,0.722020375457875,0.671875,53,23
0.795454545454545,0.731389012568718,0.916808897974244,0.311206250448273,13,31,0.715376681508147,0.72332506203474,54,2
0.727272727272727,0.728125218818848,0.909547676191566,0.317031025783221,13,31,0.701851119426551,0.813895781637717,55,2
0.777777777777778,0.73913183089486,0.925125664285621,0.314322337552167,14,31,0.709934239610964,0.800691244239631,56,2
0.777777777777778,0.733236907191208,0.921359564509602,0.30326789682554,14,31,0.714599595806492,0.71889400921659,57,2
0.695652173913043,0.737623111878899,0.907448089010814,0.350969900987649,14,32,0.733046016483516,0.560267857142857,58,2
0.777777777777778,0.713978490565966,0.867461996257281,0.363403237927702,14,31,0.706937839459391,0.841013824884793,59,20
0.733333333333333,0.729032239918323,0.914321413554366,0.305981168380787,14,31,0.726223908993306,0.678571428571429,60,2
0.782608695652174,0.725241143756432,0.911041279273299,0.302328331818009,14,32,0.69930173992674,0.821428571428571,61,2
0.688888888888889,0.716420762241278,0.863139564856155,0.381519995012749,14,31,0.721170661235316,0.693548387096774,62,20
0.727272727272727,0.723242942687165,0.875203110807997,0.378641617276491,13,31,0.742666295629658,0.602977667493797,63,4
0.733333333333333,0.73556276878239,0.918065953152948,0.323583737095452,13,32,0.716622023809524,0.745192307692308,64,2
0.636363636363636,0.724906027831096,0.886581947849148,0.358523848488476,13,31,0.738590888278388,0.49379652605459,65,2
0.733333333333333,0.735846604977658,0.914730620608692,0.327082543438151,14,31,0.70500513136289,0.737327188940092,66,2
0.8,0.720438206619831,0.910927908976768,0.285085956407548,14,31,0.713264888846785,0.756912442396313,67,2
0.777777777777778,0.730552804573792,0.917243971035521,0.303968248008747,14,31,0.70203620373879,0.824884792626728,68,2
0.733333333333333,0.744348057305977,0.925226661548243,0.331187318990183,14,31,0.715869608121763,0.738479262672811,69,2
