"genus","species","secure","threatened","taxon"
"Abablemma","brimleyana",0.782,0.218,"lepidoptera"
"Abaeis","nicippe",0.01,0.99,"lepidoptera"
"Abagrotis","alternata",0.322,0.678,"lepidoptera"
"Abagrotis","cupida",0.416,0.584,"lepidoptera"
"Abagrotis","magnicupida",0.478,0.522,"lepidoptera"
"Acharia","stimulea",0.062,0.938,"lepidoptera"
"Achatia","confusa",0.144,0.856,"lepidoptera"
"Achatia","distincta",0.23,0.77,"lepidoptera"
"Achatia","evicta",0.386,0.614,"lepidoptera"
"Achatia","latex",0.196,0.804,"lepidoptera"
"Acherdoa","ferraria",0.704,0.296,"lepidoptera"
"Achroia","grisella",0.498,0.502,"lepidoptera"
"Achyra","rantalis",0.04,0.96,"lepidoptera"
"Acleris","chalybeana",0.392,0.608,"lepidoptera"
"Acleris","curvalana",0.322,0.678,"lepidoptera"
"Acleris","flavivittana",0.518,0.482,"lepidoptera"
"Acleris","maculidorsana",0.512,0.488,"lepidoptera"
"Acleris","nivisellana",0.38,0.62,"lepidoptera"
"Acleris","placidus",0.478,0.522,"lepidoptera"
"Acleris","robinsoniana",0.378,0.622,"lepidoptera"
"Acleris","semipurpurana",0.188,0.812,"lepidoptera"
"Acleris","subnivana",0.762,0.238,"lepidoptera"
"Acoloithus","falsarius",0.096,0.904,"lepidoptera"
"Acontia","aprica",0.17,0.83,"lepidoptera"
"Acontia","candefacta",0.258,0.742,"lepidoptera"
"Acontia","dama",0.398,0.602,"lepidoptera"
"Acontia","delecta",0.764,0.236,"lepidoptera"
"Acontia","erastrioides",0.524,0.476,"lepidoptera"
"Acontia","leo",0.022,0.978,"lepidoptera"
"Acrobasis","exsulella",0.352,0.648,"lepidoptera"
"Acrobasis","indigenella",0.658,0.342,"lepidoptera"
"Acrobasis","vaccinii",0.55,0.45,"lepidoptera"
"Acrolophus","arcanella",0.172,0.828,"lepidoptera"
"Acrolophus","mora",0.444,0.556,"lepidoptera"
"Acrolophus","panamae",0.3,0.7,"lepidoptera"
"Acrolophus","plumifrontella",0.05,0.95,"lepidoptera"
"Acrolophus","popeanella",0.108,0.892,"lepidoptera"
"Acrolophus","propinqua",0.12,0.88,"lepidoptera"
"Acrolophus","texanellus",0.286,0.714,"lepidoptera"
"Acronicta","afflicta",0.3,0.7,"lepidoptera"
"Acronicta","americana",0.052,0.948,"lepidoptera"
"Acronicta","betulae",0.24,0.76,"lepidoptera"
"Acronicta","clarescens",0.428,0.572,"lepidoptera"
"Acronicta","fallax",0.164,0.836,"lepidoptera"
"Acronicta","funeralis",0.382,0.618,"lepidoptera"
"Acronicta","hamamelis",0.578,0.422,"lepidoptera"
"Acronicta","hasta",0.16,0.84,"lepidoptera"
"Acronicta","heitzmani",0.728,0.272,"lepidoptera"
"Acronicta","impleta",0.182,0.818,"lepidoptera"
"Acronicta","increta",0.316,0.684,"lepidoptera"
"Acronicta","insita",0.884,0.116,"lepidoptera"
"Acronicta","insularis",0.082,0.918,"lepidoptera"
"Acronicta","interrupta",0.116,0.884,"lepidoptera"
"Acronicta","laetifica",0.384,0.616,"lepidoptera"
"Acronicta","lithospila",0.404,0.596,"lepidoptera"
"Acronicta","lobeliae",0.176,0.824,"lepidoptera"
"Acronicta","longa",0.252,0.748,"lepidoptera"
"Acronicta","modica",0.426,0.574,"lepidoptera"
"Acronicta","morula",0.356,0.644,"lepidoptera"
"Acronicta","oblinita",0.06,0.94,"lepidoptera"
"Acronicta","ovata",0.56,0.44,"lepidoptera"
"Acronicta","radcliffei",0.592,0.408,"lepidoptera"
"Acronicta","retardata",0.322,0.678,"lepidoptera"
"Acronicta","rubricoma",0.172,0.828,"lepidoptera"
"Acronicta","superans",0.694,0.306,"lepidoptera"
"Acronicta","vinnula",0.312,0.688,"lepidoptera"
"Actias","luna",0.004,0.996,"lepidoptera"
"Actrix","nyssaecolella",0.304,0.696,"lepidoptera"
"Adela","caeruleella",0.434,0.566,"lepidoptera"
"Adoneta","bicaudata",0.354,0.646,"lepidoptera"
"Adoneta","spinuloides",0.172,0.828,"lepidoptera"
"Adoxophyes","furcatana",0.696,0.304,"lepidoptera"
"Adoxophyes","negundana",0.27,0.73,"lepidoptera"
"Aethalura","intertexta",0.352,0.648,"lepidoptera"
"Aethes","angulatana",0.294,0.706,"lepidoptera"
"Aethes","argentilimitana",0.162,0.838,"lepidoptera"
"Aethes","baloghi",0.288,0.712,"lepidoptera"
"Aethes","biscana",0.596,0.404,"lepidoptera"
"Aethes","heleniana",0.546,0.454,"lepidoptera"
"Aethes","promptana",0.35,0.65,"lepidoptera"
"Aglossa","caprealis",0.456,0.544,"lepidoptera"
"Aglossa","cuprina",0.102,0.898,"lepidoptera"
"Aglossa","disciferalis",0.118,0.882,"lepidoptera"
"Aglossa","pinguinalis",0.548,0.452,"lepidoptera"
"Agnippe","prunifoliella",0.654,0.346,"lepidoptera"
"Agnorisma","badinodis",0.118,0.882,"lepidoptera"
"Agnorisma","bollii",0.214,0.786,"lepidoptera"
"Agonopterix","alstroemeriana",0.64,0.36,"lepidoptera"
"Agonopterix","canadensis",0.488,0.512,"lepidoptera"
