"genus","species","kingdomKey","bio1_mu","bio10_mu","bio11_mu","bio12_mu","bio13_mu","bio14_mu","bio15_mu","bio16_mu","bio17_mu","bio18_mu","bio19_mu","bio2_mu","bio3_mu","bio4_mu","bio5_mu","bio6_mu","bio7_mu","bio8_mu","bio9_mu","cmi_max_mu","cmi_mean_mu","cmi_min_mu","cmi_range_mu","fcf_mu","gdd0_mu","gdd10_mu","gdd5_mu","gddlgd10_mu","gddlgd5_mu","gdgfgd10_mu","gdgfgd5_mu","gsl_mu","gsp_mu","gst_mu","hurs_max_mu","hurs_mean_mu","hurs_min_mu","hurs_range_mu","kg5_mu","ngd0_mu","ngd10_mu","ngd5_mu","npp_mu","pet_penman_max_mu","pet_penman_mean_mu","pet_penman_min_mu","pet_penman_range_mu","scd_mu","sfcWind_max_mu","sfcWind_mean_mu","sfcWind_min_mu","sfcWind_range_mu","vpd_max_mu","vpd_mean_mu","vpd_min_mu","vpd_range_mu","Layer_1.1_mu","Layer_1.2_mu","Layer_1.3_mu","Layer_1.4_mu","Layer_1.5_mu","Layer_1.6_mu","Layer_1.7_mu","Layer_1.8_mu","Layer_1.9_mu","slope_mu","roundedSRank_mu","simple_status_mu","UID_mu","lat_mu","lon_mu","maxlat_mu","minlat_mu","maxlon_mu","minlon_mu","nrec_mu","bio1_sig","bio10_sig","bio11_sig","bio12_sig","bio13_sig","bio14_sig","bio15_sig","bio16_sig","bio17_sig","bio18_sig","bio19_sig","bio2_sig","bio3_sig","bio4_sig","bio5_sig","bio6_sig","bio7_sig","bio8_sig","bio9_sig","cmi_max_sig","cmi_mean_sig","cmi_min_sig","cmi_range_sig","fcf_sig","gdd0_sig","gdd10_sig","gdd5_sig","gddlgd10_sig","gddlgd5_sig","gdgfgd10_sig","gdgfgd5_sig","gsl_sig","gsp_sig","gst_sig","hurs_max_sig","hurs_mean_sig","hurs_min_sig","hurs_range_sig","kg5_sig","ngd0_sig","ngd10_sig","ngd5_sig","npp_sig","pet_penman_max_sig","pet_penman_mean_sig","pet_penman_min_sig","pet_penman_range_sig","scd_sig","sfcWind_max_sig","sfcWind_mean_sig","sfcWind_min_sig","sfcWind_range_sig","vpd_max_sig","vpd_mean_sig","vpd_min_sig","vpd_range_sig","Layer_1.1_sig","Layer_1.2_sig","Layer_1.3_sig","Layer_1.4_sig","Layer_1.5_sig","Layer_1.6_sig","Layer_1.7_sig","Layer_1.8_sig","Layer_1.9_sig","slope_sig","roundedSRank_sig","simple_status_sig","UID_sig","lat_sig","lon_sig","maxlat_sig","minlat_sig","maxlon_sig","minlon_sig","nrec_sig","Random_Pred"
"Abies","balsamea",6,2821.33333333333,2924,2713.33333333333,13862,1454,914.333333333333,149.333333333333,4235,2897.66666666667,3930.66666666667,3201.33333333333,90,283.333333333333,8140.66666666667,2975.66666666667,2659,316.666666666667,2905,2831.33333333333,828.333333333333,330,-166.666666666667,994.666666666667,128.666666666667,34474.3333333333,11443,21593.6666666667,287,317.333333333333,113,87,233.666666666667,8953.66666666667,2870.66666666667,6300,6103.66666666667,5748.66666666667,551.333333333333,11.6666666666667,286,175,231.333333333333,13164.6666666667,14325,7874.33333333333,2564.66666666667,11760.6666666667,126.333333333333,4070.66666666667,3220.33333333333,2252,1818.66666666667,8827.66666666667,5036.66666666667,1869,6958.66666666667,"1","42","42","41","41","41","21","21","41",1.81539609056447,"S1","secure","53",1414719.13055968,1954722.98442234,1428015.62924499,1407185.01313189,1973324.08670069,1943852.08105175,3,2.08166599946613,2,2.08166599946613,423.088643194307,38.5746030439718,7.09459888459759,0.577350269189626,130.656036982606,31.5013227235514,111.132053581914,208.71112412455,1,1.52752523165195,17.4737898961082,0.577350269189626,1,1.15470053837925,2,2.08166599946613,48.0138868800822,27.2213151776324,28.7460142164672,50.0632932729493,3.05505046330389,590.89113492532,327.87040122585,470.663715760343,1,1.15470053837925,1.73205080756888,1.73205080756888,0.577350269189626,228.889347356607,1.52752523165195,35.5527776692624,46.6940395910799,45.3688586293873,10.1159939369957,2.88675134594813,2.64575131106459,2.64575131106459,2.88675134594813,182.626212065337,254.363912534778,300.376985358954,314.84811152893,88.6585209290869,0.577350269189626,622.965756148228,478.483367875346,315.624777227644,308.230974000559,163.933929780669,20.5993527406405,23.5159520326097,183.9682943698,1,3,3,3,3,3,3,3,3,0.892682957706574,1,1,3,11549.1307131958,16185.3872554247,0,0,0,0,0,0.381725779734552
"Agalinis","decemloba",6,2857.66666666667,2965.5,2748.91666666667,11359.9166666667,1086.5,770,104.666666666667,3138.66666666667,2464,2991.16666666667,2464,92,274.916666666667,8368.08333333333,3023.33333333333,2699,324.333333333333,2947,2748.91666666667,554.75,-7.58333333333333,-679.666666666667,1234.5,89.0909090909091,46292.5833333333,18912.9166666667,30964.75,308.166666666667,336.5,96.4166666666667,68.1666666666667,329.333333333333,10434.0833333333,2871.83333333333,5880.5,5698.75,5490.91666666667,389.583333333333,10,365,212.75,269.333333333333,15497.75,16631.9166666667,9281.91666666667,3291.33333333333,13340.5,0,4181.91666666667,3621.25,2799.75,1382.16666666667,13025.4166666667,7089.41666666667,2784.08333333333,10241.3333333333,"1","81","81","52","52","41","81","41","81",1.43601572467586,"S1","secure","10145",1636815.69970075,1979221.30085971,1791140.77340232,1617645.5529928,2004607.77004419,1887572.2565542,12,5.34846338737217,2.71360210119987,8.9590820687809,272.718122321243,22.2812599611096,14.5664621024399,4.27111510526516,70.9536767364753,46.6632033346892,61.8749961738597,46.6632033346892,3,13.8528522388537,231.467829429072,2.90245455162392,12.0604537831105,14.291340883291,7.23627226986633,8.9590820687809,51.77244792007,65.4806818609099,77.164915877776,28.4429253066558,1.75809814598307,1939.94266355446,818.932060489129,1213.10451659444,5.68624070307733,6.51571526806884,1.37895436890245,4.23906793643331,14.4116955871601,309.781288927684,2.28963408483195,107.708782456129,45.8537695486225,42.6901273094491,68.0166534865921,2,2,6.9035563957348,10.7477975192665,253.557999461482,605.626716465654,517.514419357011,482.952347232074,126.305905713794,2,525.740768878167,469.625793971792,377.907666693142,153.972744538136,210.190588117864,97.4627745564553,203.221535335806,387.38008897378,2,7,7,7,7,7,7,7,7,0.589413092216437,1,1,12,48633.9850110163,29395.4044934981,1,1,1,1,1,0.790808513993397
"Alnus","maritima",6,2873.78947368421,2977,2769.36842105263,11518.2105263158,1165.36842105263,773.105263157895,121.368421052632,3325.94736842105,2523.57894736842,3314.84210526316,2523.57894736842,78.7894736842105,258.947368421053,8049.68421052632,3027.57894736842,2723.57894736842,304,2975.21052631579,2769.36842105263,493.947368421053,-57.1578947368421,-669.894736842105,1163.84210526316,45.7368421052632,52152.3157894737,21984.4210526316,35062.4736842105,320.263157894737,348.368421052632,88,56.578947368421,365,11518.2105263158,2874,5967,5692.05263157895,5478.94736842105,488.052631578947,15,365,233.052631578947,292.78947368421,15645.5789473684,17469.3684210526,9911.31578947369,3677.42105263158,13791.9473684211,0,4041.68421052632,3506.73684210526,2730.26315789474,1311.15789473684,13618.3157894737,7729.21052631579,3272.78947368421,10345.5263157895,"1","82","82","82","82","82","82","82","82",0.157071065993661,"S3","secure","13500",1736495.75997674,1913262.09142157,1769102.32244173,1719093.4355713,1943845.82183952,1875554.10883317,19,1.27274625944674,3,2.49912265307002,107.567332374434,24.7098957377084,19.1482367532949,4.66917225968836,33.2406606502915,40.6998714022998,44.2345555695177,40.6998714022998,5.77907093041031,14.1361384174295,82.6633417554326,2.98730256388387,3.57950632030117,6.05530070819498,3.25881620238633,2.49912265307002,43.9058002802091,40.9962913741322,53.6033733773062,48.702342126996,11.0546224884694,405.27289196178,146.734573593681,242.344421667697,1.32673807442489,1.94965883955201,3,1.53896752812773,1,107.567332374434,4,60.0249947938357,45.4611845231249,43.6214443749485,19.4692740383135,2,1,1.58021391697194,3.3760421826028,98.8732723065652,467.728222431018,383.216366594292,357.421524532072,153.997284854929,1,448.316610918814,382.563116376495,291.541466862923,158.538205405194,179.997547091799,50.5564359540333,34.1232715433136,202.461620072396,1,6,6,6,6,6,6,6,6,0.102061263286492,1,1,19,12644.9829829125,19755.8690600285,1,1,1,1,1,0.808609327999875
"Amaranthus","pumilus",6,2876,2976,2776,11112,1150.5,787.5,123,3203.5,2530.5,3087.5,2530.5,75,254,7770.5,3026.5,2732,294.5,2971,2776,528,-86,-788.5,1316.5,11,52828,21927,35257,324,355,89,54,365,11112,2876,6126.5,5800.5,5596,530.5,23,365,236,302,15268,17487.5,9875,3648,13839.5,0,3664,3230.5,2555.5,1108,13110.5,7548.5,3389,9721.5,"1","42","42","82","82","82","42","42","42",0.212415968144296,"S1","secure","13959",1780021.25651849,1876742.57765646,1781409.49380669,1778633.01923029,1879409.04948036,1874076.10583256,2,0,0,0,33.9411254969543,9.19238815542512,4.94974746830583,0,13.4350288425444,9.19238815542512,14.8492424049175,9.19238815542512,0,1.4142135623731,7.77817459305202,0.707106781186548,0,0.707106781186548,0,0,70.7106781186548,66.4680374315355,67.175144212722,3.53553390593274,2.82842712474619,65.0538238691624,63.6396103067893,65.0538238691624,0,0,0,0,0,33.9411254969543,0,9.19238815542512,2.12132034355964,0,9.19238815542512,0,0,0,0,32.5269119345812,743.169227027061,695.793072687563,742.462120245875,0.707106781186548,0,774.989032180456,678.115403157899,535.279833358216,239.002092041053,13.4350288425444,3.53553390593274,1.4142135623731,14.8492424049175,1,2,2,2,2,2,2,2,2,0.148175081698881,1,1,2,1963.26400076738,3770.9606170433,0,0,0,0,0,0.212946680607274
"Amelanchier","canadensis",6,2871.92307692308,2975.88461538462,2766.84615384615,11268.7692307692,1148.61538461538,756.461538461538,126.230769230769,3260.38461538462,2452.76923076923,3189.53846153846,2454.5,79.3076923076923,257.153846153846,8112.03846153846,3027.46153846154,2721.07692307692,306.384615384615,2966,2776.26923076923,492.115384615385,-59.8846153846154,-682.923076923077,1175,58.0952380952381,51418.3846153846,21611.8076923077,34556.9230769231,319,347.5,89.9230769230769,58.5769230769231,365,11213.2307692308,2873.23076923077,5969.53846153846,5707.30769230769,5501.07692307692,468.461538461538,15,365,230.076923076923,289.923076923077,15410.7307692308,17206.3076923077,9738.30769230769,3573.46153846154,13632.9230769231,0,4024.42307692308,3505.38461538462,2739.73076923077,1284.69230769231,13553,7627.03846153846,3209.42307692308,10343.5769230769,"1","21","21","21","21","21","21","21","21",0.361199797237301,"SNR","threatened","15882",1709955.80960464,1919156.39343126,1793574.43435198,1577498.91479257,2009874.88882207,1845169.00338701,26,4.16579478057263,3.03745845175763,8.52615884295998,381.323412099735,56.7168947831786,28.9734095601201,11.4203596871822,150.335644987628,97.4824323423693,173.965796815174,98.2239278383837,11.5819488196736,23.307839552721,314.673352004167,8.14484263435835,12.3253335108567,19.3351015990647,14.6942165493775,37.6707395120485,85.291184502539,98.3582541215843,132.166235650993,81.3869768451931,16.3581929378057,1519.98139664729,656.033414955718,929.563980501694,5.09116882454314,6.45755371638518,2.41533561929728,3.77542661878709,2,572.247380610331,3.36223368976866,145.753004982877,85.10829300639,78.0809441935345,80.1340031543318,3,2,5.90540821229542,9.92339892143041,360.127928124694,935.816852561687,848.834766923729,820.33998955405,237.307551178115,2,1084.66629607735,965.868358604756,778.97032332136,310.196810974036,627.760400152797,191.971139657862,177.688980654834,754.188208503788,3,12,12,11,11,11,11,11,11,0.460970719433766,1,1,26,64165.2874468541,35657.69414317,1,1,1,1,1,0.872267411323264
"Amianthium","muscitoxicum",6,2854.0652173913,2963.65217391304,2742.73913043478,11510.3695652174,1131.86956521739,774.739130434783,111.826086956522,3229.34782608696,2434.36956521739,3068.73913043478,2434.36956521739,97,289.326086956522,8527.19565217391,3025.71739130435,2690.41304347826,335.304347826087,2942.32608695652,2742.73913043478,523.804347826087,-1.17391304347827,-660.304347826087,1184.19565217391,95.695652173913,44966.5,18377.6739130435,30153,304.391304347826,334,97.4347826086957,71.1521739130435,308.760869565217,10056.9347826087,2875.95652173913,5826.47826086957,5669.9347826087,5447.30434782609,379.173913043478,10,350.673913043478,207.95652173913,262.5,15265,16773.847826087,9330.95652173913,3306.54347826087,13467.3260869565,32.3913043478261,4220.84782608696,3629.41304347826,2794.60869565217,1426.15217391304,13089.7391304348,7022.26086956522,2664.9347826087,10424.8043478261,"1","41","41","41","41","41","41","41","41",4.09039837283776,"S2","secure","15925",1571044.36638064,1982438.66162006,1625267.11196944,1558397.44417226,2002919.73906851,1966433.71840114,46,5.84009959547131,7.30667089812635,4.31243567479857,1024.27573021017,91.7469003280588,70.9965366237001,3.95701541752022,282.764622759032,218.034284632858,274.758191448619,218.034284632858,4,4.4424935331715,126.725358256036,7.38365475140345,4.68366469507003,3.94331820350657,7.15869121441773,4.31243567479857,99.8822906258979,114.432377770129,133.194572723135,44.8496845351063,6.26407593687969,2050.93032277766,1384.5292349443,1677.22416178902,3.34317388034229,11,3.29074239454357,3.14089436169132,21.2102541056691,766.287483104928,3.25887861926038,53.0214795595709,42.291791782495,56.0019323338112,35.5573429502425,1,15.9458170730008,6.61297217340158,5.41910201663215,621.83952913915,669.219942831994,513.437000637068,425.8116279672,262.670985949921,31.1615705358518,656.918393964199,564.85910046811,435.772187081526,221.195737088851,498.657238537549,240.547286622504,103.129132035503,401.487989003419,1,7,7,7,7,7,7,7,7,3.21241314652784,1,1,46,14464.2071230849,7486.73325206812,1,1,1,1,1,0.102065627463162
"Ammannia","coccinea",6,2871.52173913043,2976.5652173913,2765.13043478261,11215.652173913,1143.34782608696,753.217391304348,123.130434782609,3232.47826086957,2439.5652173913,3160.73913043478,2439.5652173913,82.3478260869565,263.173913043478,8186.47826086957,3029.86956521739,2718.34782608696,311.521739130435,2967.39130434783,2765.13043478261,476.086956521739,-69.0434782608696,-697.95652173913,1174.26086956522,54.1818181818182,51257.4782608696,21629.6086956522,34516.1304347826,317.95652173913,346,89.5652173913043,59.0434782608696,365,11144.1739130435,2872.95652173913,5945.13043478261,5703.17391304348,5495.86956521739,449.260869565217,15,365,229.391304347826,287.95652173913,15356.3913043478,17279.3043478261,9787.60869565217,3623.69565217391,13655.4782608696,0,4048.08695652174,3517.5652173913,2735.5652173913,1312.5652173913,13653.7391304348,7637.04347826087,3170.21739130435,10483.5217391304,"1","21","21","21","21","21","21","21","11",0.446857170483802,"S4","threatened","15954",1698366.60122125,1925348.71174601,1787109.38761667,1552283.29439227,1961725.47305275,1867075.66770769,23,3.99851751183987,1.70096461821258,8.19259281760658,554.632852245982,63.8354480432108,46.1902749718627,7.68294656913542,157.533220036346,168.557199918214,218.05550114828,168.557199918214,11.3802408332568,23.6175053988524,296.235604876993,7.25073255124227,11.3040969871835,17.9085291137983,8.15608601784182,8.19259281760658,44.4019993852429,38.7526870163624,66.09461418085,63.5947520642905,21.9970482081149,1444.76682200294,507.808727334724,820.62666211687,4.60709197245809,5.66488385502378,1.67402853664505,3.93675294061172,4,694.399063427175,2.22543684924117,102.895491706093,61.8793930847544,57.8542874562905,77.3417548001926,3,1,5.52464832640366,9.40733882218638,528.085628312341,650.492081901541,542.895330538907,502.349338316982,218.432196587245,1,548.346515613778,489.507621454917,386.084402699598,172.307026735565,386.968311762475,160.315733436715,188.767282537313,501.748567019308,4,8,7,7,7,9,8,8,8,0.820546017984197,1,1,23,75587.6879022371,27856.3532267593,1,1,1,1,1,0.41291808639653
"Amphicarpum","amphicarpon",6,2875.2,2977,2772.6,11635.2,1248,794,134.2,3420,2558.8,3352.2,2558.8,86,278.8,7928,3032.4,2724.6,307.8,2970.4,2772.6,559.4,-15,-701.4,1260.8,44.8,52599.6,22054.4,35274.2,321.4,350.4,87.4,54.2,365,11635.2,2875.4,6028.4,5732.6,5521.4,507,23,365,235,297.2,15752.6,17233.8,9589.4,3233.8,14000,0,3382.4,2934.8,2297.8,1084.4,13539.4,7694.6,3324.8,10214.6,"1","42","42","42","42","42","42","42","42",0.0938747080019215,"S3","secure","16725",1764570.28637436,1888378.5566065,1770556.41866095,1758655.99312367,1897049.63762699,1879420.07483878,5,0.447213595499958,1,0.894427190999916,139.379697230264,23.8012604708238,10.5118980208143,1.30384048104053,43.9829512424985,20.2533947771725,55.1878609840969,20.2533947771725,2.34520787991171,4.60434577328853,18.1245689603919,0.894427190999916,1.8165902124585,2.58843582110896,0.547722557505166,0.894427190999916,7.12741187248218,9.0277350426339,15.7257750206468,19.4858923326595,5.01996015920445,127.292183577783,52.3335456471277,77.9307384797552,0.547722557505166,0.547722557505166,0.547722557505166,0.447213595499958,1,139.379697230264,0.547722557505166,14.4672042910854,13.1643457870112,17.7707625047436,9.4339811320566,1,1,0.707106781186548,0.836660026534076,127.396232283376,47.3254688302187,55.6354203722772,82.548167756771,59.6573549530986,1,153.877548719753,129.634871851674,98.7127144799493,55.8059136651305,48.3352873168248,12.8957357293021,15.8650559406515,58.6540706174772,1,4,4,4,4,4,4,4,4,0.0557578221295397,1,1,5,4375.54673092564,7562.47371836407,1,1,1,1,1,0.0175215059425682
"Anaphalis","margaritacea",6,2830.66666666667,2935.66666666667,2724,12334.5,1257,825.666666666667,137.666666666667,3646,2607.33333333333,3431.83333333333,2629,95.3333333333333,295.666666666667,8172,2994,2671.33333333333,322.666666666667,2915,2764.16666666667,607.666666666667,127.5,-424.833333333333,1032.33333333333,120.5,37363.5,13324.5,23902.3333333333,292.166666666667,322.5,110,83.1666666666667,255,9001.33333333333,2872.5,5972.83333333333,5802.66666666667,5500.66666666667,472.166666666667,10,304,183.166666666667,240.333333333333,13933.8333333333,15663,8694.33333333333,3086,12577.1666666667,100.666666666667,4762.16666666667,3931.5,2910.33333333333,1851.83333333333,10643.5,5849.5,2207,8436.5,"1","41","41","41","41","41","41","41","41",4.18410134177283,"S3","secure","17447",1498110.45131604,1977641.83692193,1565771.54387267,1427817.33945775,1990381.45898692,1966131.75122005,6,14.2220486100515,16.6453196624957,12.537942414926,704.647358612803,101.38638961912,48.6525093563186,26.6057637865683,287.779081936127,155.789173778754,249.880304679394,142.125296833463,2.33809038890002,5.08592829940284,187.641146873494,19.718012070186,13.2161517343993,6.83130051063973,16.2726764854464,38.472934209216,70.6333254679876,95.2297222509863,155.553742052921,106.496322315217,14.909728367747,4436.00846482511,2902.16097072509,3640.30870485824,7.73089041874651,7.00713921654194,7.42967024840268,7.11102430502573,24.1246761636296,883.72092125663,5.50454357780915,160.664142442135,136.626010212795,105.611868019966,66.9639206339254,1,23.5881326094288,15.1448561124451,14.0522833257328,1155.80143911775,943.045916167394,555.874686117893,281.785024442393,729.958195150014,28.3807446460918,468.268477122544,332.140783403665,268.382314370129,378.24088444623,1549.39752807341,748.834494397794,297.356351874313,1253.07394035627,2,1,1,2,2,2,2,2,2,1.05172089070109,1,1,6,71890.649593027,12092.2888012816,1,1,1,1,1,0.565150963841006
"Ancyloxypha","numitor",1,2869,2977,2758,11519.7052505967,1161.66348448687,752,130,3326.4307875895,2442.11336515513,3160.18377088305,2452.31622911694,92,285,8417.47494033413,3032,2703,330,2956,2758,553.748502994012,17.6191616766469,-601.055089820359,1154.77844311377,81,48427.3603818616,20255.062052506,32587.4272076372,310,338,90,65,365,11070.7661097852,2869,5895.86396181384,5678,5487,373,10,365,222,274,15421.3794749403,16441.2275449102,9164.38443113772,3174.13532934132,13267.1089820359,0,3801.38323353293,3280.42754491018,2535.59520958084,1265.82275449102,13485.9677804296,7354.8138424821,2908.78281622912,10577.1849642005,"1","41","41","41","41","41","41","41","41",8.51384155438477e+31,"S5","threatened","18235",1625763.47304481,1952856.06767634,1793604.20652813,1401242.91173533,2036608.74931922,1854753.05309032,838,44,44,56,850.575844156745,89.4088450892723,194,67,281.026539233398,187.363408567798,266.303187987375,227.636186079902,58,104,171.553061110202,55,71,73,61,60,96.4861739180729,99.2184863101392,126.260111145637,70.689461833853,93,3524.45522013872,2129.88914255783,2690.04862228815,36,42,30,34,64,869.786254904303,23,111.08421085649,183,179,186,4,29,50,63,724.033415176866,740.815940375036,596.765552137313,521.412897540485,379.549924493492,32,774.019230396186,654.394888048614,499.648076606566,311.162810575829,1063.10136127135,535.283222032076,271.291205399851,858.493234457198,9,15,15,15,15,15,15,15,15,1.63331501839567e+33,1,1,838,59906.3789661774,30800.6026639256,1,1,1,1,1,0.623363522812724
