"obs_full","gs","genus.x","species.x","verbiage","long_key","exclude","verb_length","has_nonNative_ssp","usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus.y","species.y","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","synonym","class","verbatim_name","matchNote","acceptedUsageKey","verbatim_kingdom"
"Isoetes engelmannii A. Braun, Engelmann’s Quillwort, •  S3/G4  (McAvoy 5594 DOV) ","Isoetes engelmannii","Isoetes","engelmannii"," A. Braun, Engelmann’s Quillwort, •  S3/G4  (McAvoy 5594 DOV) ","Isoetes engelmannii A. Braun, ",FALSE,62,FALSE,2688326,"Isoetes engelmannii A.Braun","Isoetes engelmannii","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Isoetales","Isoetaceae","Isoetes","Isoetes engelmannii",6,7707728,245,951,3074,2688248,2688326,FALSE,"Lycopodiopsida","Isoetes engelmannii","unambiguous",NA,NA
"Isoetes riparia Engelm.flex A. Braun, Riverbank Quillwort,   SU/G5? (McAvoy 1171 DOV)  [Isoetes saccharata Engelm.] ","Isoetes riparia","Isoetes","riparia"," Engelm.flex A. Braun, Riverbank Quillwort,   SU/G5? (McAvoy 1171 DOV)  [Isoetes saccharata Engelm.] ","Isoetes riparia Engelm.flex A.",FALSE,102,FALSE,2688257,"Isoetes riparia Engelm. ex A.Braun","Isoetes riparia","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Isoetales","Isoetaceae","Isoetes","Isoetes riparia",6,7707728,245,951,3074,2688248,2688257,FALSE,"Lycopodiopsida","Isoetes riparia","unambiguous",NA,NA
"Isoetes tuckermanii A. Braun, Tuckerman’s Quillwort—see  Excluded Flora section  LYCOPODIACEAE (Clubmoss Family) ","Isoetes tuckermanii","Isoetes","tuckermanii"," A. Braun, Tuckerman’s Quillwort—see  Excluded Flora section  LYCOPODIACEAE (Clubmoss Family) ","Isoetes tuckermanii A. Braun, ",TRUE,94,FALSE,4926447,"Isoetes tuckermanii A.Braun ex Engelm.","Isoetes tuckermanii","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Isoetales","Isoetaceae","Isoetes","Isoetes tuckermanii",6,7707728,245,951,3074,2688248,4926447,FALSE,"Lycopodiopsida","Isoetes tuckermanii","unambiguous",NA,NA
"Dendrolycopodium dendroideum (Michx.) A. Haines, Tree  Clubmoss (Cusick 25724 NCU)  [Lycopodium dendroideum Michx.; L. obscurum L. var.  dendroideum (Michx.) Eaton] ","Dendrolycopodium dendroideum","Dendrolycopodium","dendroideum"," (Michx.) A. Haines, Tree  Clubmoss (Cusick 25724 NCU)  [Lycopodium dendroideum Michx.; L. obscurum L. var.  dendroideum (Michx.) Eaton] ","Dendrolycopodium dendroideum (",FALSE,137,FALSE,3991500,"Dendrolycopodium dendroideum (Michx.) A.Haines","Dendrolycopodium dendroideum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Dendrolycopodium","Dendrolycopodium dendroideum",6,7707728,245,421,6725,9760652,3991500,FALSE,"Lycopodiopsida","Dendrolycopodium dendroideum","unambiguous",NA,NA
"Dendrolycopodium hickeyi (W. H. Wagner, Beitel, & R. C.  Moran) A. Haines, Hickey’s Tree Clubmoss (Redman 6330  BALT)  [Lycopodium hickeyi W. H. Wagner, Beitel, & R. C. Moran] ","Dendrolycopodium hickeyi","Dendrolycopodium","hickeyi"," (W. H. Wagner, Beitel, & R. C.  Moran) A. Haines, Hickey’s Tree Clubmoss (Redman 6330  BALT)  [Lycopodium hickeyi W. H. Wagner, Beitel, & R. C. Moran] ","Dendrolycopodium hickeyi (W. H",FALSE,152,FALSE,3991491,"Dendrolycopodium hickeyi (W.H.Wagner, Beitel & R.C.Moran) A.Haines","Dendrolycopodium hickeyi","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Dendrolycopodium","Dendrolycopodium hickeyi",6,7707728,245,421,6725,9760652,3991491,FALSE,"Lycopodiopsida","Dendrolycopodium hickeyi","unambiguous",NA,NA
"Dendrolycopodium obscurum (L.) A. Haines, Flat-branched  Tree Clubmoss (Dillard s.n. DOV)  [Lycopodium obscurum L.] ","Dendrolycopodium obscurum","Dendrolycopodium","obscurum"," (L.) A. Haines, Flat-branched  Tree Clubmoss (Dillard s.n. DOV)  [Lycopodium obscurum L.] ","Dendrolycopodium obscurum (L.)",FALSE,91,FALSE,3991468,"Dendrolycopodium obscurum (L.) A.Haines","Dendrolycopodium obscurum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Dendrolycopodium","Dendrolycopodium obscurum",6,7707728,245,421,6725,9760652,3991468,FALSE,"Lycopodiopsida","Dendrolycopodium obscurum","unambiguous",NA,NA
"Diphasiastrum digitatum (Dill.flex A. Braun) Holub, Southern  Ground Cedar (McAvoy 3451 DOV)  [Lycopodium complanatum L. var. flabelliforme Fernald;  L. digitatum Dill.flex A. Braun; L. flabelliforme (Fernald)  Blanch.] ","Diphasiastrum digitatum","Diphasiastrum","digitatum"," (Dill.flex A. Braun) Holub, Southern  Ground Cedar (McAvoy 3451 DOV)  [Lycopodium complanatum L. var. flabelliforme Fernald;  L. digitatum Dill.flex A. Braun; L. flabelliforme (Fernald)  Blanch.] ","Diphasiastrum digitatum (Dill.",FALSE,197,FALSE,2688379,"Diphasiastrum digitatum (Dill. ex A.Braun) Holub","Diphasiastrum digitatum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Diphasiastrum","Diphasiastrum digitatum",6,7707728,245,421,6725,6385542,2688379,FALSE,"Lycopodiopsida","Diphasiastrum digitatum","unambiguous",NA,NA
"Diphasiastrum tristachyum (Pursh) Holub, Blue Ground Cedar,   S3/G5 (McAvoy 4454 DOV)  [Lycopodium tristachyum Pursh] ","Diphasiastrum tristachyum","Diphasiastrum","tristachyum"," (Pursh) Holub, Blue Ground Cedar,   S3/G5 (McAvoy 4454 DOV)  [Lycopodium tristachyum Pursh] ","Diphasiastrum tristachyum (Pur",FALSE,94,FALSE,2688412,"Diphasiastrum tristachyum (Pursh) Holub","Diphasiastrum tristachyum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Diphasiastrum","Diphasiastrum tristachyum",6,7707728,245,421,6725,6385542,2688412,FALSE,"Lycopodiopsida","Diphasiastrum tristachyum","unambiguous",NA,NA
"Huperzia lucidula (Michx.) Trevis., Shining Firmoss (Tatnall  4049 DOV)  [Lycopodium lucidulum Michx.] ","Huperzia lucidula","Huperzia","lucidula"," (Michx.) Trevis., Shining Firmoss (Tatnall  4049 DOV)  [Lycopodium lucidulum Michx.] ","Huperzia lucidula (Michx.) Tre",FALSE,86,FALSE,2688524,"Huperzia lucidula (Michx.) Trevis.","Huperzia lucidula","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","Huperzia lucidula",6,7707728,245,421,6725,2688450,2688524,FALSE,"Lycopodiopsida","Huperzia lucidula","unambiguous",NA,NA
"Huperzia porophila (F. E. Lloyd & Underw.) Holub, Rock  Firmoss,  SX/G4 (Boone s.n. TAWES)  [Lycopodium porophilum F. E. Lloyd & Underw.] ","Huperzia porophila","Huperzia","porophila"," (F. E. Lloyd & Underw.) Holub, Rock  Firmoss,  SX/G4 (Boone s.n. TAWES)  [Lycopodium porophilum F. E. Lloyd & Underw.] ","Huperzia porophila (F. E. Lloy",FALSE,121,FALSE,2688531,"Huperzia porophila (F.E.Lloyd & Underw.) Holub","Huperzia porophila","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lycopodiales","Lycopodiaceae","Huperzia","Huperzia porophila",6,7707728,245,421,6725,2688450,2688531,FALSE,"Lycopodiopsida","Huperzia porophila","unambiguous",NA,NA
